"scenario","input","output","requires_human_approval","risk_level","context_type"
"Expor porta 8080 para o contêiner quando a porta já está em uso no host","docker run -p 8080:80 --name web nginx","Erro: porta 8080 do host já está em uso. Selecione outra porta ou libere a existente.","true","high","docker"
"Limitar CPU e memória a 0.5 CPU e 256MB; contêiner excede limite e é finalizado","docker run --cpus ""0.5"" --memory ""256m"" --name heavy_task busybox sh -c ""while true; do dd if=/dev/zero of=/dev/null bs=1M; done","Contêiner heavy_task executado, mas foi finalizado após exceder o limite de memória (SIGKILL).","false","medium","docker"
"Executar contêiner em modo privilegiado, risco de elevação de privilégios","docker run --privileged -d --name priv_container ubuntu sleep 3600","Contêiner 'priv_container' iniciado em modo privilegiado. Pode acessar dispositivos do host.","true","high","docker"
"Construir imagem multi-stage para reduzir tamanho final","docker build -t app:prod -f Dockerfile.multi .","{""status"": ""sucesso"", ""imagem"": ""app:prod"", ""tamanho"": ""12MB""}","false","low","docker"
"Criar volume e montar em contêiner para persistência de dados","docker volume create dados_app\ndocker run -d --name db --mount source=dados_app,target=/var/lib/mysql mysql","Volume 'dados_app' criado. Contêiner 'db' iniciado com volume montado em /var/lib/mysql.","false","low","docker"
"Definir limites de CPU e memória para contêiner crítico","docker run -d --name api --cpus=\1.5\ --memory=\500m\ myapi:latest","Contêiner 'api' iniciado com limite de 1.5 CPUs e 500MB de memória.","false","medium","docker"
"Expor porta 8080 do contêiner para o host, risco de conflito com serviço existente","docker run -d -p 8080:80 --name web nginx","Erro: porta 8080 do host já está em uso. Selecione outra porta ou libere a porta atual.","true","high","docker"
"Construir imagem Docker com cache desativado para garantir camada limpa","docker build --no-cache -t minha_app:latest .","Imagem 'minha_app:latest' criada com sucesso sem usar cache","false","low","docker"
"Executar contêiner em modo privilegiado, risco elevado de segurança ao acessar recursos do host","docker run --privileged -d --name test_privileged ubuntu sleep 3600","Contêiner 'test_privileged' iniciado em modo privilegiado. Atenção: pode acessar recursos críticos do host.","true","high","docker"
"Criar rede bridge isolada e conectar contêiner a ela, facilitando isolamento de serviços","docker network create isolada_br\ndocker run -d --name web --network isolada_br nginx","Rede 'isolada_br' criada. Contêiner 'web' iniciado conectado à rede isolada.","false","low","docker"
"Iniciar contêiner com limites de CPU e memória para evitar consumo excessivo de recursos","docker run -d --name limite --cpus 0.5 --memory 256m nginx","Contêiner 'limite' iniciado com limite de 0.5 CPU e 256MB de memória.","false","medium","docker"
"Expor porta do contêiner para o host que já está em uso, gerando conflito de porta","docker run -d -p 80:80 nginx","Erro: porta 80 do host já está em uso. Escolha outra porta.","true","high","docker"
"Executar contêiner em modo privilegiado, risco de segurança elevado","docker run --privileged -d --name cont_privileged minha_imagem","Contêiner 'cont_privileged' iniciado em modo privilegiado. Atenção: acesso total ao kernel do host.","true","high","docker"
"Construir imagem usando Dockerfile multi-stage para otimizar tamanho","docker build -t app:slim -f Dockerfile.multi .","Imagem 'app:slim' construída com sucesso. Tamanho final: 45 MB.","false","low","docker"
"Criar volume nomeado e montar no contêiner, depois listar volumes","docker volume create dados_app\ndocker run -d --name app_container -v dados_app:/data minha_imagem\ndocker volume ls","Volume 'dados_app' criado.\nContêiner 'app_container' iniciado com volume montado em /data.\nLista de volumes mostrada, inclui 'dados_app'.","false","low","docker"
"Expor porta 80 do contêiner para a porta 80 do host já ocupada, risco de conflito","docker run -d -p 80:80 nginx","Erro: a porta 80 do host já está em uso por outro serviço. Escolha outra porta ou libere a atual.","true","high","docker"
"Limitar recursos de CPU e memória ao iniciar contêiner, monitorar uso","docker run -d --name limitado --cpus 0.5 --memory 256m minha_imagem\ndocker stats limitado --no-stream","Contêiner 'limitado' iniciado com limite de 0.5 CPU e 256 MB de memória.\nEstatísticas: CPU 0.0%, Memória 32 MB / 256 MB.","false","medium","docker"
"Executar contêiner em modo privilegiado, expondo risco de segurança ao host","docker run --privileged -d --name test_privileged ubuntu sleep 3600","Contêiner 'test_privileged' iniciado em modo privilegiado. Aviso: permissões elevadas podem comprometer a segurança do host.","true","high","docker"
"Construir imagem multistage para reduzir tamanho final e melhorar tempo de deploy","docker build -f Dockerfile.multistage -t app:slim .","{""status"": ""sucesso"", ""imagem"": ""app:slim"", ""tamanho"": ""45MB""}","false","low","docker"
"Criar volume nomeado e montar em contêiner para persistência de dados","docker volume create dados_app\ndocker run -d --name db_container -v dados_app:/var/lib/db postgres","Volume 'dados_app' criado. Contêiner 'db_container' iniciado com volume montado em /var/lib/db. Dados serão preservados após reinício.","false","low","docker"
"Limitar CPU e memória do contêiner, verificando comportamento ao ultrapassar limites","docker run -d --name limited_app --cpus 0.5 --memory 256m nginx","Contêiner 'limited_app' iniciado com limite de 0.5 CPU e 256MB de memória. Se o consumo exceder, o Docker limitará ou encerrará o processo.","false","medium","docker"
"Expor porta 8080 do contêiner que já está em uso no host, causando conflito","docker run -d --name web_app -p 8080:80 nginx","Erro: porta 8080 do host já está em uso por outro processo. Escolha outra porta ou libere a porta atual.","true","high","docker"
"Criar imagem Docker com multi-stage build para reduzir tamanho e evitar arquivos temporários","docker build -t app:slim -f Dockerfile .","{""status"":""sucesso"",""imagem"":""app:slim"",""tamanho"":""15MB""}","false","low","docker"
"Executar contêiner com limite de memória e CPU, monitorando uso para evitar sobrecarga","docker run -d --name monitorado --memory 500m --cpus 0.5 nginx","Contêiner 'monitorado' iniciado com limite de 500m memória e 0.5 CPU","false","medium","docker"
"Montar volume sensível em modo somente leitura para evitar escrita indevida","docker run -d -v /etc/secret:/app/secret:ro --name app_secure imagem_segura","Contêiner 'app_secure' iniciado; volume montado como readonly","false","low","docker"
"Expor porta 8080 do contêiner para a porta 80 do host, risco de conflito com serviço existente","docker run -d -p 80:8080 nginx","Erro: Porta 80 do host já está em uso. Selecione outra porta ou libere o serviço existente.","true","high","docker"
"Criar rede overlay para serviços em Swarm, garantindo comunicação isolada","docker network create -d overlay --attachable rede_swarm","Rede 'rede_swarm' criada como overlay attachable.","false","medium","docker"
"Executar contêiner em modo privilegiado, podendo comprometer a segurança do host","docker run --privileged -d --name test_container imagem:latest","Contêiner 'test_container' iniciado em modo privilegiado. Atenção: o container tem acesso total ao kernel do host.","true","high","docker"
"Construir imagem usando multi‑stage build para reduzir tamanho final","docker build -t app:slim .","Imagem 'app:slim' construída com 3 camadas, tamanho final 45MB.","false","low","docker"
"Remover imagens dangling para liberar espaço em disco","docker image prune -f","Imagens dangling removidas. Espaço liberado: 1.2GB.","true","medium","docker"
"Expor porta 8080 do container para o host, verificando conflito de porta","docker run -p 8080:80 --name web nginx","Erro: porta 8080 do host já está em uso por outro processo. Escolha outra porta ou libere a existente.","true","high","docker"
"Limitar recursos de CPU e memória ao iniciar contêiner","docker run -d --name db --cpus 1.5 --memory 512m mysql:5.7","Contêiner 'db' iniciado com limite de 1.5 CPUs e 512MB de memória.","false","medium","docker"
"Construir imagem Docker com cache desativado para garantir camada limpa","docker build --no-cache -t app:latest .","Imagem 'app:latest' construída com sucesso, sem usar cache.","false","low","docker"
"Executar contêiner com limites de CPU e memória, risco de falha se recursos insuficientes","docker run -d --name heavy_app --cpus 2 --memory 512m imagem_app","Contêiner 'heavy_app' iniciado com limite de 2 CPUs e 512MiB memória.","false","medium","docker"
"Expor porta 8080 do contêiner para o host usando modo host networking, risco de conflito de porta","docker run -d --name web_app --network host -p 8080:80 imagem_web","Erro: a opção --network host não pode ser usada com -p/--publish. Remova -p ou use rede bridge.","true","high","docker"
"Criar volume nomeado e montar no contêiner para persistência de dados, boas práticas de backup","docker volume create db_data\n docker run -d --name db_container -v db_data:/var/lib/mysql mysql:5.7","Volume 'db_data' criado. Contêiner 'db_container' iniciado com volume montado em /var/lib/mysql.","false","low","docker"
"Remover imagens não utilizadas, risco de remover imagem necessária inadvertidamente","docker image prune -a -f","Todas as imagens sem contêineres associados foram removidas. Confirme que nenhuma imagem necessária foi excluída.","true","medium","docker"
"Construir imagem Docker com cache habilitado para acelerar rebuilds","docker build -t app:latest --cache-from app:prev .","Imagem 'app:latest' construída usando cache da camada 'app:prev'. Tempo de build reduzido.","false","low","docker"
"Executar contêiner com limite de memória e CPU, monitorando uso para evitar superaquecimento","docker run -d --name monitor --memory 512m --cpus 0.5 ubuntu sleep 3600","Contêiner 'monitor' iniciado com limite de 512 MB de memória e 0.5 CPU. Nenhum erro detectado.","false","medium","docker"
"Instalar volume anônimo e persistir dados, verificando que o volume não será removido ao excluir o contêiner","docker run -d --name db --mount type=volume,source=db_data,target=/var/lib/mysql mysql:5.7","Contêiner 'db' iniciado. Volume anônimo 'db_data' criado e montado em /var/lib/mysql. Dados permanecem após remover o contêiner.","false","low","docker"
"Expor porta 8080 do contêiner para o host já usada, requer aprovação humana para mudar a porta","docker run -d -p 8080:80 myapp","Erro: porta 8080 do host já está em uso. Selecione outra porta ou libere a atual.","true","high","docker"
"Criar rede overlay para Swarm com política de isolamento, exigindo atenção a permissões de firewall","docker network create -d overlay --attachable secure_overlay","Rede overlay 'secure_overlay' criada com flag --attachable. Certifique-se de que as regras de firewall permitem tráfego entre nós.","true","medium","docker"
"Construir imagem Docker com cache desativado para garantir camada limpa","docker build --no-cache -t minhaapp:latest .","Imagem 'minhaapp:latest' construída com sucesso sem usar cache.","false","low","docker"
"Executar contêiner com limite de memória e CPU, evitando sobrecarga do host","docker run -d --name api_server --memory 512m --cpus 0.5 minhaapi:1.0","Contêiner 'api_server' iniciado. Uso máximo de memória limitado a 512 MB e CPU a 0.5 cores.","false","medium","docker"
"Montar volume nomeado em modo somente leitura, risco de falha ao escrever","docker volume create dados_app\ndocker run -d --name app --mount source=dados_app,target=/data,readonly minhaapp","Volume 'dados_app' criado. Contêiner 'app' iniciado com /data montado como somente leitura.","false","low","docker"
"Remover imagem em uso por contêiner ativo, requer aprovação humana","docker rmi imagem_antiga:2.0","Erro: impossibilidade de remover a imagem 'imagem_antiga:2.0' porque está sendo usada por contêiner(es) em execução.","true","high","docker"
"Expor porta 3306 do MySQL para o host com risco de acesso externo não autorizado","docker run -d --name mysql_db -e MYSQL_ROOT_PASSWORD=senha123 -p 3306:3306 mysql:5.7","Contêiner 'mysql_db' iniciado. Porta 3306 do host agora encaminhada para o contêiner MySQL.","true","high","docker"
"Construir imagem multi‑stage para otimizar tamanho","docker build -t app:slim .","{""status"":""sucesso"",""imagem"":""app:slim"",""tamanho_reduzido"":true}","false","low","docker"
"Executar contêiner em modo privilegiado, risco de segurança elevado","docker run --privileged -d --name priv_container ubuntu sleep infinity","Contêiner iniciado com privilégios elevados","true","high","docker"
"Montar diretório do host como volume somente leitura para configuração","docker run -v /host/config:/etc/app:ro --name config_container myapp","Contêiner iniciado com volume montado como somente leitura","false","low","docker"
"Executar contêiner com limite de memória baixo que pode causar OOM kill","docker run -m 256m --name mem_test heavy_image","Erro: limite de memória excedido, contêiner finalizado por OOM kill","true","high","docker"
"Expor porta 8080 do container, mas a porta já está em uso no host","docker run -p 8080:80 --name web nginx","Erro: porta 8080 do host já está em uso. Escolha outra porta.","true","high","docker"
"Executar contêiner em modo privilegiado, permitindo acesso total ao kernel, risco alto de segurança","docker run --privileged -d --name privileged_container ubuntu sleep infinity","Contêiner 'privileged_container' iniciado em modo privilegiado. Aviso: risco de segurança elevado ao expor o kernel ao container.","true","high","docker"
"Construir imagem Docker com otimização de cache para reduzir tempo e tamanho do build","docker build -t app:opt .","Imagem 'app:opt' construída com 3 camadas, tamanho final 120MB, usando cache de camadas anteriores.","false","low","docker"
"Montar volume em modo somente leitura que impede gravação dentro do container, gerando erro de permissão","docker run -v /host/data:/data:ro --name test_rw alpine ls /data","Erro: falha ao acessar /data dentro do container: permissão negada.","true","medium","docker"
"Criar rede overlay no Swarm e implantar serviço conectado, garantindo isolamento de tráfego entre serviços","docker network create -d overlay my_overlay\n docker service create --name web --network my_overlay nginx","Rede overlay 'my_overlay' criada. Serviço 'web' iniciado e conectado à rede overlay, tráfego isolado entre serviços.","false","low","docker"
"Limitar recursos de CPU e memória ao iniciar contêiner para evitar sobrecarga do host","docker run -d --name limited --cpus ""0.5"" --memory ""256m"" busybox sleep 3600","Contêiner 'limited' iniciado com limite de 0.5 CPU e 256MB de memória.","false","medium","docker"
"Construir imagem usando multi-stage para reduzir tamanho e melhorar segurança","docker build -t minha_app:prod .","{""status"": ""sucesso"", ""tamanho_imagem"": ""45MB"", ""etapas"": 2}","false","low","docker"
"Remover imagens dangling para liberar espaço em disco, risco de perder imagens não taggeadas importantes","docker image prune -f","Imagens dangling removidas: 3. Espaço liberado: 200MB","true","medium","docker"
"Executar contêiner em modo privilegiado montando o socket Docker do host, risco alto de escalada de privilégio","docker run -d --name monitor --privileged -v /var/run/docker.sock:/var/run/docker.sock alpine sh","Contêiner 'monitor' iniciado em modo privilegiado com acesso ao socket Docker do host","true","high","docker"
"Limitar uso de CPU e memória de um contêiner e verificar se as restrições são aplicadas","docker run -d --name app_limit --cpus=""1.5"" -m 500m nginx","Contêiner 'app_limit' iniciado com limite de 1.5 CPUs e 500MB de memória","false","low","docker"
"Inspecionar logs de um contêiner que falhou para identificar mensagem de erro de porta em uso","docker logs falha_container","Erro: Bind for 0.0.0.0:8080 failed: address already in use","false","low","docker"
"Executar contêiner em modo privilegiado com risco de segurança","docker run --privileged -d --name root_container ubuntu sleep infinity","Contêiner iniciado em modo privilegiado. Atenção: permissões elevadas podem comprometer a segurança do host.","true","high","docker"
"Construir imagem multi-stage para reduzir tamanho final","docker build -t app:slim .","Build concluído com sucesso. Imagem app:slim criada, tamanho final: 45MB.","false","low","docker"
"Montar volume do host para persistência de dados e validar permissões","docker run -v /var/lib/data:/data --name db_container -d postgres","Contêiner db_container iniciado. Volume /var/lib/data montado em /data. Verifique se o diretório host possui permissões de leitura/escrita.","false","medium","docker"
"Criar rede bridge personalizada e conectar dois containers, garantindo isolamento","docker network create isolated_net\ndocker run -d --name web --network isolated_net nginx\ndocker run -d --name api --network isolated_net myapi","Rede 'isolated_net' criada. Containers 'web' e 'api' conectados à rede isolada. Comunicação entre eles permitida, mas isolada de outras redes.","false","low","docker"
"Definir limites de CPU e memória para container crítico e monitorar logs iniciais","docker run -d --name critical_app --cpus=""1.5"" --memory=""500m"" myapp","Contêiner 'critical_app' iniciado com limites: 1.5 CPUs, 500MB memória. Logs iniciais: \Application started\.","false","medium","docker"
"Construir imagem multi-stage otimizando o tamanho final e validando cache","docker build -t app:prod --target final .","{""status"": ""sucesso"", ""imagem"": ""app:prod"", ""etapas"": 2}","false","low","docker"
"Executar contêiner limitando recursos de CPU e memória para evitar sobrecarga","docker run -d --name limited_app --cpus 0.5 --memory 256m app:prod","Contêiner 'limited_app' iniciado com limite de 0.5 CPU e 256 MB de memória","false","medium","docker"
"Remover imagens sem referência (dangling) para liberar espaço em disco","docker image prune -f","X imagens removidas, liberando Y MB de espaço","true","medium","docker"
"Obter logs em tempo real de um contêiner que está falhando, filtrando por palavra-chave","docker logs -f app_container | grep ""ERROR","Exibindo linhas de log contendo 'ERROR' até interrupção manual","false","low","docker"
"Iniciar contêiner em modo privilegiado e conectar ao host network, expondo porta crítica","docker run --privileged --network host -d --name privileged_db postgres","Contêiner 'privileged_db' iniciado com acesso total ao host network; risco de comprometimento","true","high","docker"
"Executar contêiner em modo privilegiado expondo daemon Docker, risco de escalada de privilégio","docker run --privileged -d --name daemon_host docker:latest dockerd","Contêiner 'daemon_host' iniciado com o daemon Docker rodando. Exposição de socket pode permitir acesso root ao host.","true","high","docker"
"Construir imagem multistage otimizando tamanho, sem copiar arquivos desnecessários","docker build -t app:slim -f Dockerfile .","Imagem 'app:slim' criada com 45 MB. Etapas: 3 estágios multistage, arquivos temporários removidos.","false","low","docker"
"Criar volume nomeado e montar em contêiner para persistência de dados, verificação de permissão de escrita","docker volume create data_vol\ndocker run -d --name db --mount source=data_vol,target=/var/lib/mysql mysql:5.7","Volume 'data_vol' criado. Contêiner 'db' iniciado com volume montado em /var/lib/mysql. Permissões de escrita configuradas corretamente.","false","medium","docker"
"Limitar uso de CPU e memória de contêiner para evitar sobrecarga do host","docker run -d --name heavy_app --cpus 0.5 --memory 256m nginx","Contêiner 'heavy_app' iniciado com limite de 0.5 CPU e 256 MB de memória.","false","low","docker"
"Expor porta 8080 do contêiner para o host já ocupada, gerando erro de conflito","docker run -d -p 8080:80 --name webapp nginx","Erro: porta 8080 do host já está em uso. Escolha outra porta ou libere a porta.","true","high","docker"
"Construir imagem Docker usando multi‑stage build para reduzir o tamanho da imagem","docker build -t app:prod .","{""status"":""sucesso"",""imagem"":""app:prod"",""tamanho_reduzido"":true}","false","low","docker"
"Executar contêiner em modo privilegiado, aumentando risco de segurança","docker run --privileged -d --name teste app:latest","Contêiner iniciado com privilégios elevados. Atenção: risco de segurança aumentado.","true","high","docker"
"Montar volume host para persistência de dados do MySQL e validar permissões","docker run -v /dados/banco:/var/lib/mysql -e MYSQL_ROOT_PASSWORD=secret -d mysql:5.7","Contêiner MySQL iniciado. Volume montado em /var/lib/mysql. Verifique permissões do diretório /dados/banco.","false","medium","docker"
"Aplicar limites de CPU e memória a um contêiner nginx para evitar sobrecarga","docker run --cpus=\1.5\ --memory=\500m\ --name limit_app nginx","Contêiner nginx iniciado com limite de 1.5 CPUs e 500 MB de memória.","false","low","docker"
"Expor porta 8080 do contêiner para o host detectando conflito de porta","docker run -p 8080:80 -d --name webapp nginx","Erro: porta 8080 do host já está em uso por outro processo.","true","high","docker"
"Executar contêiner em modo privilegiado, permitindo acesso total ao host, risco elevado de segurança","docker run --privileged -d --name cont_privileged ubuntu sleep 3600","Contêiner 'cont_privileged' iniciado em modo privilegiado. Atenção: privilégios de root expostos ao host.","true","high","docker"
"Construir imagem Docker usando build de múltiplas etapas para reduzir tamanho final","docker build -t app:slim -<<'EOF'\n FROM node:18-alpine AS builder\n WORKDIR /app\n COPY . .\n RUN npm install && npm run build\n FROM node:18-alpine\n WORKDIR /app\n COPY --from=builder /app/dist ./dist\n CMD [""node"",""dist/index.js""]\nEOF","{""status"": ""sucesso"", ""imagem"": ""app:slim"", ""tamanho"": ""45MB""}","false","low","docker"
"Criar volume Docker e montar no contêiner como somente leitura, garantindo integridade dos dados","docker volume create dados_vol\n docker run -d --name app_ro --mount source=dados_vol,target=/data,readonly ubuntu tail -f /dev/null","Volume 'dados_vol' criado. Contêiner 'app_ro' iniciado com /data montado como read-only.","false","low","docker"
"Iniciar contêiner com limite de memória 100MB; aplicação consome mais, resultando em OOM kill","docker run -d --name mem_test -m 100m ubuntu bash -c ""python -c 'a=[0]*100000000'","Contêiner 'mem_test' iniciado. Mensagem de erro: OOMKilled - o contêiner excedeu o limite de memória de 100MB.","true","medium","docker"
"Executar contêiner em modo privilegiado, aumentando risco de segurança","docker run --privileged -d --name teste nginx","Contêiner iniciado em modo privilegiado; recomenda remover privilégio para melhorar segurança.","true","high","docker"
"Construir imagem multi‑stage para reduzir tamanho, boas práticas de build","docker build -t app:slim .","Build concluído com sucesso. Imagem final tamanho 45MB.","false","low","docker"
"Executar contêiner em modo privilegiado, risco elevado de segurança","docker run --privileged -d --name privileged_container ubuntu sleep infinity","Contêiner iniciado com privilégios completos. Atenção: pode contornar isolamento do Docker.","true","high","docker"
"Criar volume persistente e montar em contêiner para compartilhar dados","docker volume create data_vol\ndocker run -v data_vol:/data --name helper busybox ls /data","Volume 'data_vol' criado. Contêiner 'helper' executado e listou diretório /data (vazio).","false","low","docker"
"Expor porta 3306 do MySQL, mas porta já está em uso no host, risco de falha","docker run -p 3306:3306 -d --name db mysql","Erro: driver falhou ao programar conectividade externa no endpoint db (porta 3306 já está alocada).","true","high","docker"
"Limitar recursos de CPU e memória ao iniciar contêiner Nginx, mitigando consumo excessivo","docker run -d --name limited --cpus ""0.5"" --memory ""256m"" nginx","Contêiner 'limited' iniciado com limite de 0.5 CPU e 256MB de memória.","false","medium","docker"
"Construir imagem usando Dockerfile multi‑stage para reduzir tamanho, risco de falha no cache","docker build -t app:slim .","{""status"": ""sucesso"", ""imagem"": ""app:slim"", ""tamanho"": ""45MB""}","false","low","docker"
"Executar contêiner com limites de memória e CPU, risco de sobrecarga se limites inadequados","docker run -d --name api --memory 512m --cpus 0.5 app:latest","Contêiner 'api' iniciado com limite de memória 512m e 0.5 CPUs","false","medium","docker"
"Montar volume sensível como somente leitura, risco de exposição de dados","docker run -d --name backup -v /var/backup:/data:ro backup_image","Contêiner 'backup' iniciado com volume /var/backup montado como somente leitura","true","medium","docker"
"Criar rede overlay em swarm com porta 2377 já em uso, risco de falha de cluster","docker network create -d overlay my_overlay","Erro: porta 2377 já está em uso por outro serviço de swarm.","true","high","docker"
"Obter logs de contêiner que falhou para diagnosticar erro fatal","docker logs --tail 100 failing_container","Log das últimas 100 linhas: ... Erro fatal: out of memory","false","low","docker"
"Construir imagem usando multi-stage Dockerfile para reduzir tamanho da imagem final","docker build -t app:slim .","{""status"": ""sucesso"", ""imagem"": ""app:slim"", ""tamanho"": ""45MB""}","false","low","docker"
"Executar contêiner em modo privilegiado, permitindo acesso ao kernel do host","docker run --privileged -d --name test_priv nginx","Contêiner iniciado com privilégios elevados. Risco de comprometimento do host.","true","high","docker"
"Criar volume Docker e montar como somente leitura em contêiner","docker volume create data_vol\n docker run -v data_vol:/app/data:ro --name app_readonly myimage","Volume 'data_vol' criado. Contêiner 'app_readonly' iniciado com montagem read-only em /app/data.","false","medium","docker"
"Limitar CPU e memória de um contêiner para evitar uso excessivo de recursos","docker run -d --name limited_app --cpus 0.5 --memory 256m nginx","Contêiner 'limited_app' iniciado com limite de 0.5 CPUs e 256 MB de memória.","false","low","docker"
"Expor porta 8080 do contêiner para a porta 80 do host, risco de conflito de porta","docker run -d -p 80:8080 --name web_app nginx","Erro: a porta 80 do host já está em uso. Escolha outra porta ou libere a porta existente.","true","high","docker"
"Construir imagem Docker usando cache e otimizar camada para reduzir tamanho","docker build -t app:latest .","{""status"": ""sucesso"", ""tamanho_img"": ""120MB"", ""etapas"": 3}","false","low","docker"
"Executar contêiner com limite de memória e CPU, verificando restrição de recursos","docker run -d --name limited_container --memory 512m --cpus 0.5 app:latest","Contêiner iniciado com limite de memória 512m e CPU 0.5","false","low","docker"
"Montar volume host sensível em modo leitura para contêiner, risco de exposição de dados","docker run -d -v /etc/passwd:/mnt/passwd:ro app:latest","Contêiner iniciado; arquivo /etc/passwd está disponível em /mnt/passwd no modo somente leitura","true","medium","docker"
"Criar rede bridge personalizada e conectar dois contêineres, isolando comunicação externa","docker network create isolated_net\ndocker run -d --name db --network isolated_net postgres\ndocker run -d --name api --network isolated_net myapi","Rede 'isolated_net' criada. Contêineres db e api conectados à rede isolada.","false","low","docker"
"Expor porta 8080 do contêiner para o host que já está em uso, resultando em erro de conflito","docker run -d -p 8080:80 myweb","Erro: porta 8080 já está em uso no host. Selecione outra porta ou libere a existente.","true","high","docker"
"Executar contêiner em modo privilegiado expondo porta crítica, risco de vulnerabilidade","docker run --privileged -d -p 22:22 --name ssh_server alpine sh -c ""while true; do sleep 3600; done","Contêiner iniciado em modo privilegiado, porta 22 exposta ao host. Atenção: risco de segurança elevado","true","high","docker"
"Construir imagem otimizada com Dockerfile multi‑stage para reduzir tamanho final","docker build -t app:slim .","{""status"": ""sucesso"", ""imagem"": ""app:slim"", ""tamanho"": ""12MB""}","false","low","docker"
"Criar volume persistente e montar em contêiner para armazenamento de dados","docker volume create data_vol\n docker run -v data_vol:/var/lib/data --name app_data busybox ls /var/lib/data","Volume 'data_vol' criada. Contêiner 'app_data' iniciado com volume montado em /var/lib/data.","false","low","docker"
"Executar contêiner com limite de memória restrito, resultando em encerramento por OOM","docker run -d --name mem_hog --memory 100m busybox sh -c ""while true; do :; done","Contêiner 'mem_hog' iniciado, mas será encerrado pelo OOM quando exceder 100 MB.","false","medium","docker"
"Criar rede Docker com nome já existente, gerando erro de conflito","docker network create minha_rede\n docker network create minha_rede","Erro: rede 'minha_rede' já existe. Escolha outro nome para a rede.","true","low","docker"
"Construir imagem usando Dockerfile multi-stage para reduzir tamanho final","docker build -t app:slim .","Imagem 'app:slim' criada com tamanho reduzido (~50 MB). Etapas: 3","false","low","docker"
"Executar contêiner em modo privilegiado montando o socket Docker do host, risco alto de escalada","docker run -d --name escada --privileged -v /var/run/docker.sock:/var/run/docker.sock ubuntu sleep infinity","Contêiner 'escada' iniciado com acesso ao socket Docker do host. Possível risco de comprometimento de segurança.","true","high","docker"
"Iniciar contêiner com limites de CPU (0.5) e memória (256 MiB) e validar restrição de recursos","docker run -d --name limitado --cpus 0.5 --memory 256m alpine sleep 300","Contêiner 'limitado' iniciado. Uso de CPU limitado a 0.5 vCPU e memória a 256 MiB conforme config.","false","medium","docker"
"Limpar imagens não referenciadas usando docker image prune, requer confirmação para evitar perda acidental","docker image prune -a --filter ""until=24h","Removed <N> images (total <size>). Use '--force' to skip confirmation.","true","medium","docker"
"Construir imagem usando multi‑stage Dockerfile para reduzir tamanho final","docker build -t app:lean --target final .","Imagem 'app:lean' construída com ~45 % de redução de tamanho comparado ao estágio intermediário.","false","low","docker"
"Construir imagem multi‑stage para reduzir tamanho final e melhorar cache","docker build -t minhaapp:latest .","{""status"": ""sucesso"", ""imagem"": ""minhaapp:latest"", ""tamanho"": ""45MB""}","false","low","docker"
"Executar contêiner em modo privilegiado com montagem do socket Docker do host, risco de escalada","docker run --privileged -v /var/run/docker.sock:/var/run/docker.sock --name monitor docker:latest","Contêiner iniciado com acesso ao socket Docker do host. Possível risco de controle total do daemon.","true","high","docker"
"Montar volume bind em modo somente leitura para evitar alterações no host","docker run -v /dados/host:/dados/container:ro --name app_readonly minhaimagem","Contêiner iniciado. Volume /dados/host montado como somente leitura dentro do contêiner.","false","low","docker"
"Expor porta 3306 do MySQL container, mas porta já usada no host, risco de falha","docker run -d -p 3306:3306 --name mysql mysql:5.7","Erro: porta 3306 do host já está em uso. Selecione outra porta ou libere a existente.","true","high","docker"
"Executar contêiner com limites de CPU e memória para evitar sobrecarga do host","docker run -d --name webapp --cpus 0.5 --memory 256m nginx","Contêiner iniciado com limites de 0.5 CPU e 256MB de memória configurados.","false","medium","docker"
"Executar contêiner em modo privilegiado, risco de segurança elevado","docker run --privileged -d --name test_secure alpine sleep 3600","Contêiner iniciado em modo privilegiado. Atenção: pode acessar recursos do host.","true","high","docker"
"Construir imagem multi‑stage otimizada para tamanho reduzido","docker build -t app:lean -<<EOF\nFROM node:14 AS builder\nWORKDIR /app\nCOPY . .\nRUN npm install && npm run build\nFROM node:14-alpine\nWORKDIR /app\nCOPY --from=builder /app/dist ./\nCMD [""node"",""server.js""]\nEOF","{""status"":""success"",""image"":""app:lean"",""size_reduction"":""70%""}","false","low","docker"
"Montar volume host com permissões inadequadas gera erro de acesso","docker run -v /root/data:/data --name app alpine ls /data","Erro: permissões insuficientes para acessar /root/data no host.","true","medium","docker"
"Expor porta 80 do container, mas porta já está em uso no host","docker run -p 80:80 nginx","Erro: porta 80 do host já está em uso. Escolha outra porta.","true","high","docker"
"Definir limites de CPU e memória ao iniciar contêiner","docker run --cpus=""1.5"" --memory=""500m"" --name limited alpine sleep 60","Contêiner iniciado com limite de 1.5 CPUs e 500 MB de memória.","false","low","docker"
"Construir imagem Docker com cache desativado para garantir recompilação completa","docker build --no-cache -t minhaapp:latest .","Imagem 'minhaapp:latest' construída sem usar cache, todas as camadas recompiladas.","false","low","docker"
"Executar contêiner em modo privilegiado expondo risco de segurança","docker run --privileged -d --name teste_privileged ubuntu sleep infinity","Contêiner 'teste_privileged' iniciado em modo privilegiado. Cuidado: tem acesso total ao kernel do host.","true","high","docker"
"Montar volume host com permissões inadequadas que podem causar falha de escrita","docker run -v /root/secret:/app/data --name app_container myimage","Erro ao iniciar contêiner: Permissão negada ao montar /root/secret no diretório /app/data.","true","medium","docker"
